iso3,gdp_per_capita,gdp_growth,inflation,unemployment,population,population_growth,birth_rate,death_rate,life_expectancy,fertility_rate,internet_users,electricity_access,urban_population_pct,gdp_current_usd,literacy_rate,secondary_enrollment,physicians_per_1000,industry_value_added_pct,agriculture_value_added_pct
LCN,9408.84820249156,4.08489707535256,7.71367726901419,6.93153209123054,653108120,0.594629197549039,14.4233953679951,7.05872057759594,74.6472095421659,1.81208587734194,77.1,98.5788786006825,80.8277327769,6144995160894.64,94.6840972900391,97.0838012695312,2.57421521940574,32.8886249957991,6.63398030325015
LAC,9111.34927084769,3.94705326197962,8.33370630096231,6.88224992720831,585648822,0.644881793607611,14.6557406646828,7.00216169327154,74.4897262626475,1.82575260798187,76.6,98.4626020716217,80.294444140205,5336050967302.51,94.4349365234375,96.8845901489258,2.58485046274083,27.1905672578375,5.781476683018
TLA,9174.55690452428,4.11782588294029,7.8962761916855,7.01556949606688,637837815,0.625181508078684,14.5725229152132,6.98079564680561,74.5684293540859,1.82203190749137,77.3,98.5448799242171,80.8195255101746,5851879329574.93,94.6017074584961,96.9736022949219,2.45380103637718,32.9348330980467,6.88810103055837
LDC,1299.36172423082,4.75099901471464,9.45801281304023,5.05048767454214,1134585604,2.26507402979903,31.6761864741622,7.16145377554517,65.7631857632163,4.0077222718124,28.2,56.7383129284796,35.2589263540141,1474237106700.91,67.5506820678711,47.1495704650879,0.308365019188705,29.4179971708575,18.9062443827452
LMY,5741.78381882952,3.99985001578578,8.48730869535043,5.4501372521796,6437946207,0.930421993883396,17.8295069492503,7.176566532508,71.6849231239061,2.32078133665542,,90.0927677222263,52.6396704057543,36965295357847.5,85.2197799682617,74.0918502807617,1.4874939012268,33.9713736387678,9.19497112117227
MEA,6430.53553485753,6.4465289217368,5.17980847967061,8.23898776216766,782349366,1.9060709844483,23.2159925514372,5.35811738067193,71.6918319737772,3.03344296601144,57.8,95.8637945014964,55.12536380356,5030925398736.26,74.5160675048828,62.4220314025879,1.29878377722747,43.218816823565,5.89098584462715
MNA,3015.7557973385,4.32972249891917,8.30646124447623,8.9382675467404,716508657,1.69604782645998,24.0326916833302,5.60732350870116,71.0055315443397,3.11585080940198,54.1,95.483714372763,52.1693289932022,,,,,,
TMN,3010.19656726913,4.33155082949985,8.78598837999588,8.83598059809406,711465045,1.69089538433865,24.0075800789595,5.6258636704773,70.965432550888,3.11399696821534,53.8,95.4516981935493,51.925275557204,,,,,,
MIC,6248.00962014697,4.00728998415607,8.30646124447623,5.43225929726468,5846464711,0.759184401757075,16.0782465627278,7.09332798947959,72.5172020330295,2.09175049538458,,94.8579251685419,54.2809961716246,36528767758177.8,87.2956771850586,79.2273635864258,1.59618735892324,34.0804884960566,9.03735874419318
NAC,74535.6365392629,2.64058278650343,7.40280048696867,3.83303148633239,373018004,0.703165039262701,10.790749333555,9.67456454575849,77.8327679594239,1.62238294506643,92.6,100.0,80.2778760108654,,,,,,
OED,43950.173710934,3.09501591343316,8.23803240697186,4.99493121590976,1378565677,0.493072946245184,10.2114306223859,9.54450646324847,79.5212545784247,1.54712421028136,,100.0,80.9495516047505,,,,,,
OSS,14320.7706776288,4.35703581894087,7.46811935414937,9.01147513544492,12699005,1.24494821200593,15.7455421949987,8.11695817538461,72.9049248661262,2.06679748542533,,93.9605317818207,54.4367375147273,181859538439.061,86.8639526367188,73.5171127319336,1.82890468087854,22.9596659084884,3.15485993820553
PSS,3896.81060847355,8.46598449677872,6.09871755232029,3.60681620269367,2656049,1.15709923057953,23.618105175394,7.02894372505929,69.1004348993561,3.06729870639623,,85.7923885063867,39.9427900823495,,,,,,
PST,50969.801641014,2.79274034092423,7.87737003690613,4.52601118181449,1117394729,0.0726915141290977,8.9565360959153,10.5941736393138,80.1977878300116,1.44161265388636,,100.0,80.93281887999,,,,,,
